DateTimeUT,"FIES room WebSensor1 Temperature near ceiling","FIES room WebSensor1 Humidity","FIES room WebSensor1 Illumination","FIES front room WebSensor2 Temperature","FIES front room WebSensor2 Humidity","FIES front room WebSensor2 Illumination","FIES inside black box at rear","FIES room near ceiling and fan control","FIES under grating in tank","FIES front room","FIES below table girder","FIES above heater radiator","FIES inside black box centre","FIES above ceiling","FIES grating tank housing","FIES inside white box rear","FIES inside white box centre","FIES centre of table [inc. gnd]","FIES ceiling near instrument (Aarhus 1)","FIES inside black box (Aarhus 2)","FIES Inside white box under dewar (Aarhus 3)","FIES Detector temperature","FIES Dewar temperature","FIES Detector pressure","FIES Atmospheric Pressure","FIES grating tank pressure"
"2020-03-25 12:00:20",20,32.4,0,19.6,32.4,0.4,20.461,19.662,20.583,18.616,19.252,28.131,20.554,10.786,20.709,20.545,20.285,20.856,20.7,21.02,21.31,-119.99,-173.07,1.43e-06,767.919,769.343
"2020-03-25 12:01:20",20,32.4,0,19.4,32.8,0.4,20.461,19.67,20.583,18.467,19.266,27.346,20.554,10.731,20.709,20.38,20.286,20.848,20.71,,21.24,-120,-173.04,1.44e-06,767.947,769.342
"2020-03-25 12:02:19",20,32.4,0,19.1,33.2,0.4,20.461,19.679,20.583,18.356,19.289,26.297,20.554,10.696,20.709,20.408,20.287,20.857,20.74,21.01,21.36,-119.99,-173.06,1.44e-06,767.938,769.343
"2020-03-25 12:03:20",20,32.4,0,18.8,33.7,0.4,20.461,19.587,20.583,18.295,19.265,28.926,20.553,10.678,20.709,20.418,20.288,20.847,20.75,21.04,21.26,-120.01,-173.05,1.43e-06,767.931,769.341
"2020-03-25 12:04:20",20,32.4,0,18.7,33.9,0.4,20.461,19.725,20.583,18.156,19.243,29.239,20.553,10.662,20.708,20.432,20.286,20.837,20.78,21.01,21.3,-119.99,-173.09,1.44e-06,767.934,769.341
"2020-03-25 12:05:19",20,32.4,0,18.6,34.1,0.4,20.461,19.539,20.583,18.257,19.243,28.957,20.553,10.635,20.709,20.467,20.289,20.852,20.69,21.01,21.36,-120,-173.12,1.44e-06,767.937,769.341
"2020-03-25 12:06:19",20,32.4,0,18.6,34.1,0.4,20.461,19.62,20.583,18.248,19.241,27.922,20.553,10.658,20.709,20.346,20.285,20.86,20.66,21.04,21.36,-119.98,-173.14,1.44e-06,767.947,769.342
"2020-03-25 12:07:20",20,32.4,0,18.9,33.7,0.4,20.461,19.626,20.583,18.183,19.262,27.375,20.552,10.779,20.709,20.367,20.282,20.87,20.7,21.01,21.41,-120.01,-173.2,1.43e-06,767.939,769.342
"2020-03-25 12:08:20",20,32.4,0,19.3,33,0.4,20.46,19.644,20.583,18.324,19.276,27.452,20.552,10.803,20.709,20.442,20.284,20.872,20.69,20.98,21.38,-119.98,-173.21,1.43e-06,767.948,769.341
"2020-03-25 12:09:20",20,32.5,0,19.5,32.5,0.4,20.46,19.677,20.583,18.497,19.251,27.854,20.552,10.734,20.709,20.426,20.286,20.868,20.67,21.06,21.32,-120,-173.2,1.43e-06,767.939,769.342
