DateTimeUT,"Exposure Time","Exposure Meter Counts"
"2020-03-16 12:42:08",474.014,48231660
"2020-03-16 12:42:11",478.224,48232056
"2020-03-16 12:42:15",481.567,48232536
"2020-03-16 12:42:19",485.358,48232888
"2020-03-16 12:42:23",489.149,48233376
"2020-03-16 12:42:26",493.06,53025428
"2020-03-16 12:42:30",496.73,53025952
"2020-03-16 12:42:34",500.521,53026400
"2020-03-16 12:42:38",504.312,53026796
"2020-03-16 12:42:42",508.103,53027200
"2020-03-16 12:42:45",512.107,53027676
"2020-03-16 12:42:49",515.685,53028180
"2020-03-16 12:42:53",519.474,53028632
"2020-03-16 12:42:57",523.265,53029032
"2020-03-16 12:43:01",527.055,53029508
"2020-03-16 12:43:04",531.154,53029968
"2020-03-16 12:43:08",534.637,53030396
"2020-03-16 12:43:12",538.428,53030872
"2020-03-16 12:43:16",542.218,57809332
"2020-03-16 12:43:20",546.009,57809884
"2020-03-16 12:43:23",550.2,57810364
"2020-03-16 12:43:27",553.591,57810832
"2020-03-16 12:43:31",557.381,57811288
"2020-03-16 12:43:35",561.172,57811700
"2020-03-16 12:43:39",565.038,57812172
"2020-03-16 12:43:42",569.247,57812652
"2020-03-16 12:43:46",572.544,57813116
"2020-03-16 12:43:50",576.335,57813616
"2020-03-16 12:43:54",580.127,57813984
"2020-03-16 12:43:57",584.084,57814440
"2020-03-16 12:44:01",587.707,57814872
"2020-03-16 12:44:05",591.497,62618592
"2020-03-16 12:44:09",595.298,62619060
"2020-03-16 12:44:13",599.089,62619484
"2020-03-16 12:44:16",603.12,62619984
"2020-03-16 12:44:20",606.67,62620404
"2020-03-16 12:44:24",610.461,62620764
"2020-03-16 12:44:28",614.251,62621196
"2020-03-16 12:44:32",618.042,62621680
"2020-03-16 12:44:35",622.167,62622152
"2020-03-16 12:44:39",625.633,62622628
"2020-03-16 12:44:43",629.434,62623028
"2020-03-16 12:44:47",633.225,62623424
"2020-03-16 12:44:51",637.016,62623888
"2020-03-16 12:44:54",641.194,67409584
"2020-03-16 12:44:58",644.598,67410064
"2020-03-16 12:45:02",648.388,67410544
"2020-03-16 12:45:06",652.178,67411000
"2020-03-16 12:45:10",656.032,67411408
"2020-03-16 12:45:13",660.241,67411840
"2020-03-16 12:45:17",663.55,67412304
"2020-03-16 12:45:21",667.341,67412720
"2020-03-16 12:45:25",671.131,67413192
"2020-03-16 12:45:28",675.078,67413656
"2020-03-16 12:45:32",678.713,67414104
"2020-03-16 12:45:36",682.504,67414480
"2020-03-16 12:45:40",686.294,67414896
"2020-03-16 12:45:44",690.085,72226720
"2020-03-16 12:45:47",694.124,72227224
"2020-03-16 12:45:51",697.666,72227720
"2020-03-16 12:45:55",701.456,72228152
"2020-03-16 12:45:59",705.247,72228536
"2020-03-16 12:46:03",709.039,72228968
"2020-03-16 12:46:06",713.171,72229504
"2020-03-16 12:46:10",716.619,72229888
"2020-03-16 12:46:14",720.41,72230312
"2020-03-16 12:46:18",724.201,72230752
"2020-03-16 12:46:22",728.009,72231232
"2020-03-16 12:46:25",732.218,72231728
"2020-03-16 12:46:29",735.573,72232176
"2020-03-16 12:46:33",739.363,77056888
"2020-03-16 12:46:37",743.154,77057464
"2020-03-16 12:46:41",747.056,77057928
"2020-03-16 12:46:44",751.225,77058352
"2020-03-16 12:46:48",754.566,77058768
"2020-03-16 12:46:52",758.356,77059248
"2020-03-16 12:46:56",762.147,77059680
"2020-03-16 12:46:59",766.062,77060144
"2020-03-16 12:47:03",769.729,77060608
"2020-03-16 12:47:07",773.519,77061024
"2020-03-16 12:47:11",777.311,77061488
"2020-03-16 12:47:15",781.101,77061912
"2020-03-16 12:47:18",785.109,77062320
"2020-03-16 12:47:22",788.682,81896640
"2020-03-16 12:47:26",792.472,81897112
"2020-03-16 12:47:30",796.263,81897568
"2020-03-16 12:47:34",800.054,81898056
"2020-03-16 12:47:37",804.156,81898432
"2020-03-16 12:47:41",807.635,81898896
"2020-03-16 12:47:45",811.466,81899312
"2020-03-16 12:47:49",815.257,81899712
"2020-03-16 12:47:53",819.047,81900160
"2020-03-16 12:47:56",823.162,81900576
"2020-03-16 12:48:00",826.628,81901008
"2020-03-16 12:48:04",830.458,81901440
"2020-03-16 12:48:08",834.249,81901976
"2020-03-16 12:48:12",838.64,86712112
"2020-03-16 12:48:16",842.431,86712560
"2020-03-16 12:48:20",846.222,86713008
"2020-03-16 12:48:24",850.012,86713472
"2020-03-16 12:48:27",854.197,86713896
"2020-03-16 12:48:31",857.594,86714328
"2020-03-16 12:48:35",861.385,86714776
"2020-03-16 12:48:39",865.175,86715200
"2020-03-16 12:48:43",869.034,86715576
"2020-03-16 12:48:46",873.244,86716000
"2020-03-16 12:48:50",876.547,86716448
"2020-03-16 12:48:54",880.377,86716896
"2020-03-16 12:48:58",884.168,86717360
"2020-03-16 12:49:02",888.041,91543656
"2020-03-16 12:49:05",891.75,91544096
"2020-03-16 12:49:09",895.54,91544512
"2020-03-16 12:49:13",899.331,91544968
"2020-03-16 12:49:17",903.122,91545408
"2020-03-16 12:49:20",907.087,91545880
"2020-03-16 12:49:24",910.713,91546352
"2020-03-16 12:49:28",914.503,91546760
"2020-03-16 12:49:32",918.294,91547208
"2020-03-16 12:49:36",922.084,91547656
"2020-03-16 12:49:39",926.126,91548088
"2020-03-16 12:49:43",929.666,91548536
"2020-03-16 12:49:47",933.457,91548968
"2020-03-16 12:49:51",937.247,96330784
"2020-03-16 12:49:55",941.048,96331248
"2020-03-16 12:55:07",0,0
"2020-03-16 12:55:11",0,465
"2020-03-16 12:55:15",4.219,4822635
"2020-03-16 12:55:18",8.429,4823163
"2020-03-16 12:55:22",11.362,4823629
"2020-03-16 12:55:26",15.153,4824069
"2020-03-16 12:55:30",19.056,4824525
"2020-03-16 12:55:34",23.265,4825029
"2020-03-16 12:55:37",27.475,4825458
"2020-03-16 12:55:41",30.316,4825854
"2020-03-16 12:55:45",34.107,4826256
"2020-03-16 12:55:49",38.103,4826678
"2020-03-16 12:55:52",42.312,4827175
"2020-03-16 12:55:56",45.479,4827619
"2020-03-16 12:56:00",49.269,4828087
"2020-03-16 12:56:04",53.059,9632079
"2020-03-16 12:56:08",57.13,9632626
"2020-03-16 12:56:11",61.339,9633021
"2020-03-16 12:56:15",64.452,9633426
"2020-03-16 12:56:19",68.244,9633867
"2020-03-16 12:56:23",72.033,9634345
"2020-03-16 12:56:27",76.176,9634834
"2020-03-16 12:56:30",80.386,9635266
"2020-03-16 12:56:34",83.405,9635744
"2020-03-16 12:56:38",87.196,9636229
"2020-03-16 12:56:42",91.013,9636683
"2020-03-16 12:56:46",95.224,9637066
"2020-03-16 12:56:49",99.433,9637558
"2020-03-16 12:56:53",102.358,14420790
"2020-03-16 12:56:57",106.149,14421312
"2020-03-16 12:57:01",110.061,14421743
"2020-03-16 12:57:05",114.27,14422135
"2020-03-16 12:57:08",118.479,14422603
"2020-03-16 12:57:12",121.312,14423017
"2020-03-16 12:57:16",125.103,14423431
"2020-03-16 12:57:20",129.107,14423809
"2020-03-16 12:57:23",133.316,14424294
"2020-03-16 12:57:27",136.475,14424752
"2020-03-16 12:57:31",140.265,14425162
"2020-03-16 12:57:35",144.056,14425618
"2020-03-16 12:57:39",148.154,14426086
"2020-03-16 12:57:42",152.363,19230116
"2020-03-16 12:57:46",155.428,19230648
"2020-03-16 12:57:50",159.219,19231076
"2020-03-16 12:57:54",163.009,19231496
"2020-03-16 12:57:58",167.2,19231944
"2020-03-16 12:58:01",171.409,19232432
"2020-03-16 12:58:05",174.382,19232856
"2020-03-16 12:58:09",178.172,19233242
"2020-03-16 12:58:13",182.037,19233732
"2020-03-16 12:58:17",186.247,19234188
"2020-03-16 12:58:20",190.456,19234652
"2020-03-16 12:58:24",193.334,19235152
"2020-03-16 12:58:28",197.125,19235620
"2020-03-16 12:58:32",201.084,24029352
