DateTimeUT,"Exposure Time","Exposure Meter Counts"
"2020-03-18 16:02:00",0,396
"2020-03-18 16:03:28",0,0
"2020-03-18 16:03:31",0,342
"2020-03-18 16:03:35",3.783,1388483
"2020-03-18 16:03:39",7.573,1388813
"2020-03-18 16:03:43",11.364,1389217
"2020-03-18 16:03:47",15.155,1389613
"2020-03-18 16:03:50",19.055,2771580
"2020-03-18 16:03:54",22.736,2771924
"2020-03-18 16:03:58",26.527,2772212
"2020-03-18 16:04:02",30.317,2772568
"2020-03-18 16:04:06",34.108,2772901
"2020-03-18 16:04:09",38.102,4151403
"2020-03-18 16:04:13",41.689,4151745
"2020-03-18 16:04:17",45.48,4152144
"2020-03-18 16:04:21",49.27,4152477
"2020-03-18 16:04:25",53.061,5534148
"2020-03-18 16:04:28",57.148,5534535
"2020-03-18 16:04:32",60.643,5534981
"2020-03-18 16:04:36",64.434,5535332
"2020-03-18 16:04:40",68.224,6921490
"2020-03-18 16:04:43",72.015,6921858
"2020-03-18 16:04:47",75.805,6922284
"2020-03-18 16:04:51",79.596,6922644
"2020-03-18 16:04:55",83.386,8304407
"2020-03-18 16:04:59",87.177,8304856
"2020-03-18 16:05:02",91.032,8305247
"2020-03-18 16:05:06",94.758,8305686
"2020-03-18 16:05:10",98.549,8306036
"2020-03-18 16:05:14",102.34,9687320
"2020-03-18 16:05:18",106.131,9687680
"2020-03-18 16:05:21",110.079,9688048
"2020-03-18 16:05:25",113.712,9688391
"2020-03-18 16:05:29",117.502,11069973
"2020-03-18 16:05:33",121.293,11070314
"2020-03-18 16:05:37",125.084,11070695
"2020-03-18 16:05:40",129.126,11071037
"2020-03-18 16:05:44",132.665,12456760
"2020-03-18 16:05:48",136.466,12457252
"2020-03-18 16:05:52",140.257,12457675
"2020-03-18 16:05:55",144.047,12458007
"2020-03-18 16:05:59",147.837,12458399
"2020-03-18 16:06:03",151.629,13844867
"2020-03-18 16:06:07",155.419,13845287
"2020-03-18 16:06:11",159.21,13845647
"2020-03-18 16:06:14",163,13846060
"2020-03-18 16:06:18",166.79,15233446
"2020-03-18 16:06:22",170.581,15233865
"2020-03-18 16:06:26",174.372,15234308
"2020-03-18 16:06:30",178.162,15234722
"2020-03-18 16:06:33",182.046,16622503
"2020-03-18 16:06:37",185.755,16622961
"2020-03-18 16:06:41",189.545,16623375
"2020-03-18 16:06:45",193.337,16623793
"2020-03-18 16:06:49",197.127,16624230
"2020-03-18 16:06:52",201.083,18010072
"2020-03-18 16:06:56",204.708,18010488
"2020-03-18 16:07:00",208.497,18010866
"2020-03-18 16:07:04",212.289,18011264
"2020-03-18 16:07:08",216.08,19403276
"2020-03-18 16:07:11",220.13,19403620
"2020-03-18 16:07:15",223.66,19403932
"2020-03-18 16:07:19",227.451,19404306
"2020-03-18 16:07:23",231.242,20796112
"2020-03-18 16:07:26",235.033,20796578
"2020-03-18 16:07:30",238.824,20796970
"2020-03-18 16:07:34",242.614,20797384
"2020-03-18 16:07:38",246.405,20797772
"2020-03-18 16:07:42",250.196,22187090
"2020-03-18 16:07:45",254.014,22187512
"2020-03-18 16:07:49",257.777,22187942
"2020-03-18 16:07:53",261.567,22188320
"2020-03-18 16:07:57",265.359,23576980
"2020-03-18 16:08:01",269.148,23577468
"2020-03-18 16:08:04",273.061,23577928
"2020-03-18 16:08:08",276.73,23578324
"2020-03-18 16:08:12",280.521,24969484
"2020-03-18 16:08:16",284.311,24969898
"2020-03-18 16:08:20",288.102,24970272
"2020-03-18 16:08:23",292.107,24970692
"2020-03-18 16:08:27",295.683,24971140
"2020-03-18 16:08:31",299.473,26355664
"2020-03-18 16:08:35",303.274,26356096
"2020-03-18 16:08:39",307.065,26356502
"2020-03-18 16:08:42",311.144,26356932
"2020-03-18 16:08:46",314.646,27747780
"2020-03-18 16:08:50",318.467,27748230
"2020-03-18 16:08:54",322.258,27748614
"2020-03-18 16:08:57",326.049,27748974
"2020-03-18 16:09:01",329.84,29136584
"2020-03-18 16:09:05",333.64,29137132
"2020-03-18 16:09:09",337.431,29137560
"2020-03-18 16:09:13",341.221,29137904
"2020-03-18 16:09:16",345.011,30368976
"2020-03-18 16:09:20",348.802,30526416
"2020-03-18 16:09:24",352.593,30526830
"2020-03-18 16:09:28",356.384,30527236
"2020-03-18 16:09:32",360.174,30527584
"2020-03-18 16:09:35",364.035,31915572
"2020-03-18 16:09:39",367.756,31915952
"2020-03-18 16:09:43",371.547,31916348
"2020-03-18 16:09:47",375.337,31916708
"2020-03-18 16:09:51",379.128,33306032
"2020-03-18 16:09:54",383.081,33306496
"2020-03-18 16:09:58",386.709,33306892
"2020-03-18 16:10:02",390.499,33307260
"2020-03-18 16:10:06",394.291,34693264
"2020-03-18 16:10:10",398.091,34693804
"2020-03-18 16:10:13",402.118,34694180
"2020-03-18 16:10:17",405.672,34694616
"2020-03-18 16:10:21",409.463,34695016
"2020-03-18 16:10:25",413.255,36089212
"2020-03-18 16:10:29",417.045,36089748
"2020-03-18 16:10:32",421.055,36090128
"2020-03-18 16:10:36",424.736,36090520
"2020-03-18 16:10:40",428.526,37481760
"2020-03-18 16:10:44",432.317,37482208
"2020-03-18 16:10:48",436.108,37482572
"2020-03-18 16:10:51",440.102,37483004
"2020-03-18 16:10:55",443.689,38874536
"2020-03-18 16:10:59",447.48,38875096
"2020-03-18 16:11:03",451.27,38875448
"2020-03-18 16:11:07",455.061,38875840
"2020-03-18 16:11:10",459.148,38876208
"2020-03-18 16:11:14",462.643,40265100
"2020-03-18 16:11:18",466.433,40265488
"2020-03-18 16:11:22",470.224,40265896
"2020-03-18 16:11:25",474.014,40266264
"2020-03-18 16:11:29",477.805,41652900
"2020-03-18 16:11:33",481.596,41653396
"2020-03-18 16:11:37",485.386,41653776
"2020-03-18 16:11:41",489.177,41654128
"2020-03-18 16:11:44",493.032,43042472
"2020-03-18 16:11:48",496.768,43042912
