DateTimeUT,"Exposure Time","Exposure Meter Counts"
"2020-03-26 12:00:01",4092.38,991739136
"2020-03-26 12:00:05",4095.41,996152128
"2020-03-26 12:00:09",4099.2,996152832
"2020-03-26 12:00:13",4103.01,996153280
"2020-03-26 12:00:17",4107.22,996153728
"2020-03-26 12:00:21",4111.43,996154240
"2020-03-26 12:00:24",4115.32,0
"2020-03-26 22:39:24",0,3617392
"2020-03-26 22:39:28",4.217,4476266
"2020-03-26 22:39:32",8.336,4476712
"2020-03-26 22:39:35",12.545,4477117
"2020-03-26 22:39:39",15.247,4477473
"2020-03-26 22:39:43",19.035,8980566
"2020-03-26 22:39:47",23.173,8981146
"2020-03-26 22:39:51",27.383,8981589
"2020-03-26 22:39:54",31.573,8982027
"2020-03-26 22:39:58",34.218,8982417
"2020-03-26 22:40:02",38.008,13480721
"2020-03-26 22:40:06",42.201,13481146
"2020-03-26 22:40:10",46.41,13481565
"2020-03-26 22:40:13",50.619,13481963
"2020-03-26 22:40:17",53.171,13916693
"2020-03-26 22:40:21",57.038,17974072
"2020-03-26 22:40:25",61.247,17974528
"2020-03-26 22:40:28",65.456,17974892
"2020-03-26 22:40:32",68.333,17975300
"2020-03-26 22:40:36",72.124,20044904
"2020-03-26 22:40:40",76.085,22457630
"2020-03-26 22:40:44",80.292,22458080
"2020-03-26 22:40:47",84.504,22458552
"2020-03-26 22:40:51",87.288,22458918
"2020-03-26 22:40:55",91.078,26190772
"2020-03-26 22:40:59",95.131,26938162
"2020-03-26 22:41:03",99.341,26938576
"2020-03-26 22:41:06",103.55,26938986
"2020-03-26 22:41:10",106.241,26939330
"2020-03-26 22:41:14",110.032,31421720
"2020-03-26 22:41:18",114.168,31422196
"2020-03-26 22:41:22",118.378,31422606
"2020-03-26 22:41:25",122.587,31423028
"2020-03-26 22:41:29",125.204,31423508
"2020-03-26 22:41:33",129.006,35894728
"2020-03-26 22:41:37",133.205,35895160
"2020-03-26 22:41:41",137.414,35895520
"2020-03-26 22:41:44",141.623,35895980
"2020-03-26 22:41:48",144.169,36223492
"2020-03-26 22:41:52",148.031,40363156
"2020-03-26 22:41:56",152.241,40363596
"2020-03-26 22:41:59",156.45,40363948
"2020-03-26 22:42:03",159.34,40364308
"2020-03-26 22:42:07",163.13,42328280
"2020-03-26 22:42:11",167.079,44813860
"2020-03-26 22:42:15",171.288,44814260
"2020-03-26 22:42:18",175.497,44814700
"2020-03-26 22:42:22",178.293,44815068
"2020-03-26 22:42:26",182.084,48436424
"2020-03-26 22:42:30",186.115,49260648
"2020-03-26 22:42:34",190.325,49261048
"2020-03-26 22:42:37",194.534,49261416
"2020-03-26 22:42:41",197.257,49261736
"2020-03-26 22:42:45",201.047,53707816
"2020-03-26 22:42:49",205.162,53708216
"2020-03-26 22:42:53",209.372,53708616
"2020-03-26 22:42:56",213.581,53708984
"2020-03-26 22:43:00",216.211,53709436
"2020-03-26 22:43:04",220.001,58169948
"2020-03-26 22:43:08",224.209,58170448
"2020-03-26 22:43:12",228.418,58170864
"2020-03-26 22:43:15",232.627,58171328
"2020-03-26 22:43:19",235.164,58361576
"2020-03-26 22:43:23",239.046,62621264
"2020-03-26 22:43:27",243.254,62621604
"2020-03-26 22:43:30",247.465,62622072
"2020-03-26 22:43:34",250.326,62622468
"2020-03-26 22:43:38",254.117,64429448
"2020-03-26 22:43:42",258.093,67079076
"2020-03-26 22:43:46",262.302,67079532
"2020-03-26 22:43:49",266.511,67080004
"2020-03-26 22:43:53",269.28,67080384
"2020-03-26 22:43:57",273.07,70561096
"2020-03-26 22:44:01",277.128,71558800
"2020-03-26 22:44:05",281.338,71559160
"2020-03-26 22:44:08",285.548,71559512
"2020-03-26 22:44:12",288.243,71559936
"2020-03-26 22:44:16",292.033,76014960
"2020-03-26 22:44:20",296.176,76015368
"2020-03-26 22:44:24",300.385,76015752
"2020-03-26 22:44:27",304.595,76016112
"2020-03-26 22:44:31",307.196,76016472
"2020-03-26 22:44:35",311.013,80478976
"2020-03-26 22:44:39",315.212,80479496
"2020-03-26 22:44:43",319.422,80479848
"2020-03-26 22:44:46",323.631,80480272
"2020-03-26 22:44:50",326.16,80527696
"2020-03-26 22:44:54",330.049,84920736
"2020-03-26 22:44:58",334.259,84921224
"2020-03-26 22:45:01",338.469,84921560
"2020-03-26 22:45:05",341.322,84921992
"2020-03-26 22:45:09",345.114,86640032
"2020-03-26 22:45:13",349.097,89376544
"2020-03-26 22:45:17",353.306,89377040
"2020-03-26 22:45:20",357.515,89377480
"2020-03-26 22:45:24",360.276,89377880
"2020-03-26 22:45:28",364.067,92746048
"2020-03-26 22:45:32",368.133,93824808
"2020-03-26 22:45:36",372.342,93825184
"2020-03-26 22:45:39",376.551,93825600
"2020-03-26 22:45:43",379.238,93826032
"2020-03-26 22:45:47",383.029,98280632
"2020-03-26 22:45:51",387.18,98281168
"2020-03-26 22:45:55",391.389,98281624
