DateTimeUT,"Exposure Time","Exposure Meter Counts"
"2020-05-29 18:03:50",79.602,5888551
"2020-05-29 18:03:54",83.392,5888956
"2020-05-29 18:03:58",87.183,5889346
"2020-05-29 18:04:01",91.026,5889711
"2020-05-29 18:04:05",94.765,5890092
"2020-05-29 18:04:09",98.555,5890526
"2020-05-29 18:04:13",102.346,5890909
"2020-05-29 18:04:17",106.137,7157913
"2020-05-29 18:04:20",110.072,8844869
"2020-05-29 18:04:24",113.718,8845247
"2020-05-29 18:04:28",117.509,8845601
"2020-05-29 18:04:32",121.299,8845960
"2020-05-29 18:04:36",125.09,8846304
"2020-05-29 18:04:39",129.119,8846753
"2020-05-29 18:04:43",132.671,8847160
"2020-05-29 18:04:47",136.462,8847520
"2020-05-29 18:04:51",140.253,8847888
"2020-05-29 18:04:55",144.043,8848340
"2020-05-29 18:04:58",148.166,8848751
"2020-05-29 18:05:02",151.625,8849114
"2020-05-29 18:05:06",155.425,8849524
"2020-05-29 18:05:10",159.215,11445687
"2020-05-29 18:05:13",163.006,11829069
"2020-05-29 18:05:17",166.797,11829515
"2020-05-29 18:05:21",170.59,11829938
"2020-05-29 18:05:25",174.379,11830375
"2020-05-29 18:05:29",178.17,11830762
"2020-05-29 18:05:32",182.04,11831119
"2020-05-29 18:05:36",185.751,11831467
"2020-05-29 18:05:40",189.542,11831904
"2020-05-29 18:05:44",193.332,11832324
"2020-05-29 18:05:48",197.123,11832763
"2020-05-29 18:05:51",201.087,11833159
"2020-05-29 18:05:55",204.704,11833534
"2020-05-29 18:05:59",208.495,12929519
"2020-05-29 18:06:03",212.295,14819108
"2020-05-29 18:06:07",216.086,14819502
"2020-05-29 18:06:10",220.123,14819883
"2020-05-29 18:06:14",223.667,14820222
"2020-05-29 18:06:18",227.458,14820612
"2020-05-29 18:06:22",231.249,14821023
"2020-05-29 18:06:26",235.04,14821419
"2020-05-29 18:06:29",239.169,14821791
"2020-05-29 18:06:33",242.621,14822155
"2020-05-29 18:06:37",246.411,14822566
"2020-05-29 18:06:41",250.202,14823003
"2020-05-29 18:06:44",254.007,14823417
"2020-05-29 18:06:48",257.783,14823824
"2020-05-29 18:06:52",261.574,17243056
"2020-05-29 18:06:56",265.365,17802212
"2020-05-29 18:07:00",269.156,17802592
"2020-05-29 18:07:03",273.054,17802936
"2020-05-29 18:07:07",276.737,17803260
"2020-05-29 18:07:11",280.528,17803616
"2020-05-29 18:07:15",284.318,17804016
"2020-05-29 18:07:19",288.108,17804416
"2020-05-29 18:07:22",292.101,17804856
"2020-05-29 18:07:26",295.69,17805260
"2020-05-29 18:07:30",299.481,17805668
"2020-05-29 18:07:34",303.272,17806014
"2020-05-29 18:07:38",307.062,17806384
"2020-05-29 18:07:41",311.147,18714190
"2020-05-29 18:07:45",314.654,20736106
"2020-05-29 18:07:49",318.444,20736556
"2020-05-29 18:07:53",322.235,20736944
"2020-05-29 18:07:56",326.026,20737428
"2020-05-29 18:08:00",329.816,20737798
"2020-05-29 18:08:04",333.607,20738166
"2020-05-29 18:08:08",337.397,20738584
"2020-05-29 18:08:12",341.188,20739024
"2020-05-29 18:08:15",345.021,20739428
"2020-05-29 18:08:19",348.769,20739892
"2020-05-29 18:08:23",352.56,20740266
"2020-05-29 18:08:27",356.351,20740686
"2020-05-29 18:08:31",360.142,20741118
