JD_UTC,RV,RV_ERR,FIES_ROOM_WEBSENSOR1_TEMPERATURE_NEAR_CEILING,FIES_ROOM_WEBSENSOR1_HUMIDITY,FIES_FRONT_ROOM_WEBSENSOR2_TEMPERATURE,FIES_FRONT_ROOM_WEBSENSOR2_HUMIDITY,FIES_FRONT_ROOM_WEBSENSOR2_ILLUMINATION,FIES_INSIDE_BLACK_BOX_AT_REAR,FIES_ROOM_NEAR_CEILING_AND_FAN_CONTROL,FIES_UNDER_GRATING_IN_TANK,FIES_FRONT_ROOM,FIES_BELOW_TABLE,FIES_ABOVE_HEATER_RADIATOR,FIES_INSIDE_BLACK_BOX_CENTRE,FIES_ABOVE_CEILING,FIES_GRATING_TANK_HOUSING,FIES_INSIDE_WHITE_BOX_REAR,FIES_INSIDE_WHITE_BOX_CENTRE,FIES_INSIDE_WHITE_BOX_UNDER_DEWAR_INCLUDE_GND,FIES_CEILING_NEAR_INSTRUMENT_AARHUS_1,FIES_INSIDE_BLACK_BOX_AARHUS_2,FIES_INSIDE_WHITE_BOX_UNDER_DEWAR_AARHUS_3,FIES_DETECTOR_TEMPERATURE,FIES_DEWAR_TEMPERATURE,FIES_DETECTOR_PRESSURE,FIES_ATMOSPHERIC_PRESSURE,FIES_GRATING_TANK_PRESSURE
2458927.169131, -6.92, 0.21, 20.200000, 23.900000, 19.000000, 16.400000, 0.400000, 20.480000, 19.793000, 20.572000, 18.965000, 19.512000, 26.880000, 20.559000, 12.554000, 20.701000, 20.568000, 20.361000, 20.917000, 20.790000, 20.970000, 21.360000, -119.990000, -172.870000, 0.000001, 768.729000, 770.096000
2458927.169321, -9.90, 0.23, 20.200000, 23.900000, 19.000000, 16.400000, 0.400000, 20.480000, 19.793000, 20.572000, 18.965000, 19.512000, 26.880000, 20.559000, 12.554000, 20.701000, 20.568000, 20.361000, 20.917000, 20.790000, 20.970000, 21.360000, -119.990000, -172.870000, 0.000001, 768.729000, 770.096000
2458927.169510, -11.77, 0.16, 20.200000, 23.900000, 18.900000, 16.500000, 0.400000, 20.479000, 19.775000, 20.572000, 18.922000, 19.551000, 25.446000, 20.558000, 12.576000, 20.701000, 20.528000, 20.357000, 20.909000, 20.770000, 20.950000, 21.290000, -120.000000, -172.880000, 0.000001, 768.699000, 770.096000
2458927.169699, -9.39, 0.24, 20.200000, 23.900000, 18.900000, 16.500000, 0.400000, 20.479000, 19.775000, 20.572000, 18.922000, 19.551000, 25.446000, 20.558000, 12.576000, 20.701000, 20.528000, 20.357000, 20.909000, 20.770000, 20.950000, 21.290000, -120.000000, -172.880000, 0.000001, 768.699000, 770.096000
2458927.169889, -12.74, 0.18, 20.200000, 23.900000, 18.900000, 16.500000, 0.400000, 20.479000, 19.775000, 20.572000, 18.922000, 19.551000, 25.446000, 20.558000, 12.576000, 20.701000, 20.528000, 20.357000, 20.909000, 20.770000, 20.950000, 21.290000, -120.000000, -172.880000, 0.000001, 768.699000, 770.096000
2458927.170078, -11.52, 0.19, 20.200000, 23.900000, 18.700000, 16.700000, 0.400000, 20.480000, 19.811000, 20.572000, 18.820000, 19.554000, 26.609000, 20.559000, 12.506000, 20.701000, 20.543000, 20.358000, 20.900000, 20.810000, 21.010000, 21.310000, -119.990000, -172.880000, 0.000001, 768.746000, 770.096000
2458927.170267, -16.40, 0.22, 20.200000, 23.900000, 18.700000, 16.700000, 0.400000, 20.480000, 19.811000, 20.572000, 18.820000, 19.554000, 26.609000, 20.559000, 12.506000, 20.701000, 20.543000, 20.358000, 20.900000, 20.810000, 21.010000, 21.310000, -119.990000, -172.880000, 0.000001, 768.746000, 770.096000
2458927.170456, -12.11, 0.16, 20.200000, 23.900000, 18.700000, 16.700000, 0.400000, 20.480000, 19.811000, 20.572000, 18.820000, 19.554000, 26.609000, 20.559000, 12.506000, 20.701000, 20.543000, 20.358000, 20.900000, 20.810000, 21.010000, 21.310000, -119.990000, -172.880000, 0.000001, 768.746000, 770.096000
2458927.170646, -15.30, 0.21, 20.200000, 23.900000, 18.700000, 16.700000, 0.400000, 20.480000, 19.811000, 20.572000, 18.820000, 19.554000, 26.609000, 20.559000, 12.506000, 20.701000, 20.543000, 20.358000, 20.900000, 20.810000, 21.010000, 21.310000, -119.990000, -172.880000, 0.000001, 768.746000, 770.096000
2458927.170834, -16.27, 0.20, 20.200000, 23.900000, 18.700000, 16.700000, 0.400000, 20.480000, 19.802000, 20.572000, 18.734000, 19.559000, 25.565000, 20.560000, 12.666000, 20.701000, 20.482000, 20.360000, 20.913000, 20.800000, 20.980000, 21.340000, -119.990000, -172.860000, 0.000001, 768.713000, 770.096000
